date,strategy_id,market,category,sector_or_index,contribution,cumulative_contribution,portfolio_value_local,portfolio_value_usd_if_applicable,drawdown
2018-03-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,39000.0,43476.10424037215,,-0.05561948203885815
2018-04-30,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,40000.0,44044.68461390096,,-0.043268876182203375
2018-05-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,41000.0,44198.05006167433,,-0.03993749809448904
2018-06-30,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,42000.0,47534.12982296419,,0.0
2018-07-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,0.0,42000.0,49533.42575910041,,0.0
2018-08-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,43000.0,53447.238036801406,,0.0
2018-09-30,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,44000.0,54277.98230759849,,0.0
2018-10-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,45000.0,56937.97827324589,,0.0
2018-11-30,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,46000.0,58696.778274437165,,0.0
2018-12-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,0.0,46000.0,54738.39413227736,,-0.06743784341369391
2019-01-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,47000.0,58196.09321569497,,-0.008530026237577093
2019-02-28,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,48000.0,60652.836755579156,,0.0
2019-03-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,49000.0,64711.460222581765,,0.0
2019-04-30,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,50000.0,67676.89345952995,,0.0
2019-05-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,51000.0,67053.35962221716,,-0.009213393308096438
2019-06-30,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,52000.0,73940.98290430865,,0.0
2019-07-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,53000.0,77824.22420158876,,0.0
2019-08-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,54000.0,82204.73698013707,,0.0
2019-09-30,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,55000.0,84397.63191029683,,0.0
2019-10-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,56000.0,86069.96747426447,,0.0
2019-11-30,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,57000.0,87266.11029771029,,0.0
2019-12-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,58000.0,88193.92658169243,,0.0
2020-01-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,0.0,58000.0,88359.24360223145,,0.0
2020-02-29,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,59000.0,82459.97237820392,,-0.06676461888452095
2020-03-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,60000.0,84559.70153138947,,-0.04300107058347464
2020-04-30,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,61000.0,91361.85006858483,,0.0
2020-05-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,62000.0,93148.15391907607,,0.0
2020-06-30,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,63000.0,93316.01598071774,,0.0
2020-07-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,64000.0,102121.2807781331,,0.0
2020-08-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,64999.99999999999,109863.56704982248,,0.0
2020-09-30,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,66000.0,112132.87027586887,,0.0
2020-10-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,67000.0,112663.3543741089,,0.0
2020-11-30,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,68000.0,121885.98974008104,,0.0
2020-12-31,US_SECTOR_CONSUMER_STAPLES,US,sector,CONSUMER_STAPLES,1000.0,69000.0,118840.60623234502,,-0.02498550911577479
